name,salary,currency,organization,city,experience,link
Врач-терапевт,от 51000,₽,ГБУЗ Самарская областная клиническая психиатрическая больница,Самара,Без опыта,https://samara.hh.ru/vacancy/90377601?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
"Медицинская сестра/медицинский брат (Самара, М.Ш.)",от 39950,₽,ООО Лаборатория Гемотест,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93542310?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
"Медицинская сестра/медицинский брат (Победы, 103)",от 39950,₽,ООО Лаборатория Гемотест,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93542259?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
"Медицинская сестра/медицинский брат (ул. Гагарина, д. 40/ул.Революционная, д. 90)",от 39950,₽,ООО Лаборатория Гемотест,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93542242?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-терапевт (участковый),от 90000,₽,ГБУЗ СО Жигулевская центральная городская больница,Самара,Без опыта,https://samara.hh.ru/vacancy/79705700?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Медицинская сестра палатная/Медицинский брат палатный,20000 – 25000,₽,ГБУЗ Самарская областная детская клиническая больница имени Н.Н.Ивановой,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93079980?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач травматолог-ортопед,55000 – 63700,₽,ГБУЗ Правдинская ЦРБ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93353164?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-терапевт,55000 – 55000,₽,ФГБУ СКК Приволжский МО РФ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/90050848?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Начальник медицинской части санаторно-курортной организации,90000 – 100000,₽,ФГБУ СКК Приволжский МО РФ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92352970?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач гастроэнтеролог (детский),от 40000,₽,ЗАО ЛДЦ иммунологии и Аллергологии,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93080154?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-профпатолог,от 70000,₽,ГБУЗ МО Дмитровская городская больница,Самара,Без опыта,https://samara.hh.ru/vacancy/93515979?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Медицинская сестра перевязочной / Медицинский брат перевязочной,от 30000,₽,Государственное бюджетное учреждение здравоохранения Самарская областная клиническая больница имени В.Д. Середавина,Самара,Без опыта,https://samara.hh.ru/vacancy/92680742?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Старшая медицинская сестра/Старший медицинский брат,от 50000,₽,Медицинская компания Наука,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92269652?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-офтальмолог (СКДЦ),,,ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93071172?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-офтальмолог детский (Детская поликлиника),от 70000,₽,Мать И Дитя ИДК,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/88279626?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач ультразвуковой диагностики (детство),от 85000,₽,Мать И Дитя ИДК,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/88279541?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Медицинская сестра/медицинский брат школы,28000 – 30000,₽,ГБУЗ СО Самарская городская больница № 6,Самара,Без опыта,https://samara.hh.ru/vacancy/91935258?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
"Врач-акушер-гинеколог, УЗД",46408 – 58517,₽,ГАУ КО РПЦ,Самара,Без опыта,https://samara.hh.ru/vacancy/93486520?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
"Врач акушер-гинеколог, узд",46408 – 58517,₽,ГАУ КО РПЦ,Самара,Без опыта,https://samara.hh.ru/vacancy/93480784?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-невролог,35000 – 50000,₽,Гос. корп. ГАУЗ Нижнекамская детская районная больница с перинатальным центром,Самара,Без опыта,https://samara.hh.ru/vacancy/88320848?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Медицинская сестра/медицинский брат приемного отделения,от 30000,₽,Государственное бюджетное учреждение здравоохранения Самарская областная клиническая больница имени В.Д. Середавина,Самара,Без опыта,https://samara.hh.ru/vacancy/92681447?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Медицинская сестра / медицинский брат по выездному обслуживанию (Самара),35000 – 51000,₽,ООО Лаборатория Гемотест,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91520354?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач акушер-гинеколог,35000 – 50000,₽,Гос. корп. ГАУЗ Нижнекамская детская районная больница с перинатальным центром,Самара,Без опыта,https://samara.hh.ru/vacancy/88597936?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-терапевт,от 50000,₽,ГБУЗ СО Сергиевская ЦРБ,Самара,Без опыта,https://samara.hh.ru/vacancy/92469746?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач аллерголог-иммунолог детский,,,ООО УК Медгард,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/90275635?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач анестезиолог-реаниматолог (г. Великие Луки),от 100000,₽,ГБУЗ ПО ПСКОВСКАЯ ОБЛАСТНАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА,Самара,Без опыта,https://samara.hh.ru/vacancy/92845273?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач ультразвуковой диагностики,от 50000,₽,ГБУЗ СО Сергиевская ЦРБ,Самара,Без опыта,https://samara.hh.ru/vacancy/92519101?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-невролог (внешнее совместительство),,,ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91554337?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-офтальмолог,,,ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91554717?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач общей практики (семейный врач),от 42500,₽,ГБУЗ Самарской области Челно-Вершинская центральная районная больница,Самара,Без опыта,https://samara.hh.ru/vacancy/89344147?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-офтальмолог,от 50000,₽,ГБУЗ СО Сергиевская ЦРБ,Самара,Без опыта,https://samara.hh.ru/vacancy/92468384?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
