name,salary,url,organization,address,experience
Менеджер по продажам (удаленно),50000-80000 ₽,https://samara.hh.ru/vacancy/93066473?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,АНО ДПО Единый Всероссийский Институт Дополнительного Профессионального Образования,,1–3 года
Менеджер по развитию в маркетинге в г. Самара,до 60000 ₽,https://samara.hh.ru/vacancy/94179406?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Haulmont,"Самара, улица Гастелло, 43а",1–3 года
,36500-36500 ₽,https://samara.hh.ru/vacancy/89122802?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Лиммэн,"Самара, Республиканская, 106 литера Е",1–3 года
Менеджер по продажам в IT (B2B),80000 ₽,https://samara.hh.ru/vacancy/93256814?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ИП Киселев Федор Андреевич,", Дачная улица, 24, РоссийскаяАлабинскаяМосковскаяСамара",3–6 лет
Старший специалист по планированию,75000-113000 ₽,https://samara.hh.ru/vacancy/92891745?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,СК АССЕТ,"Самара, Московское шоссе, 41",1–3 года
Менеджер по маркетингу в г. Самара (Параплан),до 60000 ₽,https://samara.hh.ru/vacancy/94179707?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Haulmont,"Самара, улица Гастелло, 43а",1–3 года
Аналитик 1С по оперативному учету,,https://samara.hh.ru/vacancy/93799847?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ЕАЕ-Консалт,,3–6 лет
Менеджер по развитию в маркетинге в г. Самара,,https://samara.hh.ru/vacancy/93464541?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Haulmont,"Самара, улица Гастелло, 43а",1–3 года
Специалист по развитию,30000-80000 ₽,https://samara.hh.ru/vacancy/93037849?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Чечина Виктория АнатольевнаИП ,Самара,1–3 года
QA engineer (Platform V SOWA),,https://samara.hh.ru/vacancy/94182538?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,НОРБИТ,,1–3 года
Ведущий менеджер по продажам B2O,,https://samara.hh.ru/vacancy/93915916?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ЭР-Телеком,,1–3 года
SEO-оптимизатор / SEO-специалист,70000-120000 ₽,https://samara.hh.ru/vacancy/93806618?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Hi Store,"РоссийскаяСамара, Ново-Садовая улица, 106, ",1–3 года
Системный аналитик (финтех),,https://samara.hh.ru/vacancy/93886028?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Центр технологий моделирования,"МоскваШаболовская, , 2-й Верхний Михайловский проезд, 9с2",3–6 лет
Бизнес-ассистент/Персональный помощник,80000 ₽,https://samara.hh.ru/vacancy/93973867?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Тойз Рус,", Алма-Атинская улица, 29Самара",3–6 лет
SEO-специалист (в офисе),80000-150000 ₽,https://samara.hh.ru/vacancy/93850472?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Damy Floor,", 6-я просека, 161Самара",3–6 лет
